"vdid","datacollecttime","status","vsrid","vsrdir","speed","laneoccupy","carid","volume"
"65000V005740","2016/08/13 15:24:00","3","1","0","-99","-99","L","-99"
"65000V005740","2016/08/13 15:24:00","3","1","0","-99","-99","S","-99"
"65000V005740","2016/08/13 15:24:00","3","0","0","-99","-99","L","-99"
"65000V005740","2016/08/13 15:24:00","3","0","0","-99","-99","S","-99"
"65000V005740","2016/08/13 15:24:00","3","2","0","-99","-99","L","-99"
"65000V005740","2016/08/13 15:24:00","3","2","0","-99","-99","S","-99"
"65000V005740","2016/08/13 15:24:00","3","5","1","-99","-99","L","-99"
"65000V005740","2016/08/13 15:24:00","3","5","1","-99","-99","S","-99"
"65000V005740","2016/08/13 15:24:00","3","3","1","-99","-99","L","-99"
"65000V005740","2016/08/13 15:24:00","3","3","1","-99","-99","S","-99"
"65000V005740","2016/08/13 15:24:00","3","4","1","-99","-99","L","-99"
"65000V005740","2016/08/13 15:24:00","3","4","1","-99","-99","S","-99"
"65000V006200","2016/08/13 15:24:00","0","1","0","48","7","L","0"
"65000V006200","2016/08/13 15:24:00","0","1","0","48","7","S","13"
"65000V006200","2016/08/13 15:24:00","0","0","0","48","10","L","0"
"65000V006200","2016/08/13 15:24:00","0","0","0","48","10","S","19"
"65000V006200","2016/08/13 15:24:00","0","2","0","42","11","L","1"
"65000V006200","2016/08/13 15:24:00","0","2","0","42","11","S","14"
"65000V008130","2016/08/13 15:24:00","3","1","0","-99","-99","L","-99"
"65000V008130","2016/08/13 15:24:00","3","1","0","-99","-99","S","-99"
"65000V008130","2016/08/13 15:24:00","3","0","0","-99","-99","L","-99"
"65000V008130","2016/08/13 15:24:00","3","0","0","-99","-99","S","-99"
"65000V008130","2016/08/13 15:24:00","3","2","1","-99","-99","L","-99"
"65000V008130","2016/08/13 15:24:00","3","2","1","-99","-99","S","-99"
"65000V008130","2016/08/13 15:24:00","3","3","1","-99","-99","L","-99"
"65000V008130","2016/08/13 15:24:00","3","3","1","-99","-99","S","-99"
"65000V008940","2016/08/13 15:24:00","0","0","0","75","0","L","0"
"65000V008940","2016/08/13 15:24:00","0","0","0","75","0","S","2"
"65000V008940","2016/08/13 15:24:00","0","1","0","63","1","L","2"
"65000V008940","2016/08/13 15:24:00","0","1","0","63","1","S","2"
"65000V008940","2016/08/13 15:24:00","0","2","0","68","1","L","1"
"65000V008940","2016/08/13 15:24:00","0","2","0","68","1","S","2"
"65000V008940","2016/08/13 15:24:00","0","3","1","64","2","L","3"
"65000V008940","2016/08/13 15:24:00","0","3","1","64","2","S","2"
"65000V008940","2016/08/13 15:24:00","0","4","1","56","2","L","2"
"65000V008940","2016/08/13 15:24:00","0","4","1","56","2","S","2"
"65000V008940","2016/08/13 15:24:00","0","5","1","65","3","L","4"
"65000V008940","2016/08/13 15:24:00","0","5","1","65","3","S","4"
"65000V009560","2016/08/13 15:24:00","0","0","0","0","0","L","0"
"65000V009560","2016/08/13 15:24:00","0","0","0","0","0","S","0"
"65000V009560","2016/08/13 15:24:00","0","1","0","72","0","L","0"
"65000V009560","2016/08/13 15:24:00","0","1","0","72","0","S","1"
"65000V009560","2016/08/13 15:24:00","0","3","1","68","0","L","0"
"65000V009560","2016/08/13 15:24:00","0","3","1","68","0","S","1"
"65000V009560","2016/08/13 15:24:00","0","2","1","64","1","L","0"
"65000V009560","2016/08/13 15:24:00","0","2","1","64","1","S","2"
"65000V009850","2016/08/13 15:24:00","3","0","0","-99","-99","L","-99"
"65000V009850","2016/08/13 15:24:00","3","0","0","-99","-99","S","-99"
"65000V009850","2016/08/13 15:24:00","3","1","0","-99","-99","L","-99"
"65000V009850","2016/08/13 15:24:00","3","1","0","-99","-99","S","-99"
"65000V010000","2016/08/13 15:24:00","3","1","0","-99","-99","L","-99"
"65000V010000","2016/08/13 15:24:00","3","1","0","-99","-99","S","-99"
"65000V010000","2016/08/13 15:24:00","3","0","0","-99","-99","L","-99"
"65000V010000","2016/08/13 15:24:00","3","0","0","-99","-99","S","-99"
"65000V010000","2016/08/13 15:24:00","3","2","1","-99","-99","L","-99"
"65000V010000","2016/08/13 15:24:00","3","2","1","-99","-99","S","-99"
"65000V010000","2016/08/13 15:24:00","3","3","1","-99","-99","L","-99"
"65000V010000","2016/08/13 15:24:00","3","3","1","-99","-99","S","-99"
"65000V010010","2016/08/13 15:24:00","0","0","0","0","0","L","0"
"65000V010010","2016/08/13 15:24:00","0","0","0","0","0","S","0"
"65000V010010","2016/08/13 15:24:00","0","1","0","32","2","L","1"
"65000V010010","2016/08/13 15:24:00","0","1","0","32","2","S","0"
"65000V010200","2016/08/13 15:24:00","0","0","0","55","2","L","0"
"65000V010200","2016/08/13 15:24:00","0","0","0","55","2","S","5"
"65000V010200","2016/08/13 15:24:00","0","1","1","57","2","L","0"
"65000V010200","2016/08/13 15:24:00","0","1","1","57","2","S","5"
"65000V010240","2016/08/13 15:24:00","3","0","0","-99","-99","L","-99"
"65000V010240","2016/08/13 15:24:00","3","0","0","-99","-99","S","-99"
"65000V010240","2016/08/13 15:24:00","3","1","1","-99","-99","L","-99"
"65000V010240","2016/08/13 15:24:00","3","1","1","-99","-99","S","-99"
"65000V015000","2016/08/13 15:24:00","0","2","0","65","1","L","0"
"65000V015000","2016/08/13 15:24:00","0","2","0","65","1","S","3"
"65000V015000","2016/08/13 15:24:00","0","0","0","58","2","L","0"
"65000V015000","2016/08/13 15:24:00","0","0","0","58","2","S","6"
"65000V015000","2016/08/13 15:24:00","0","1","0","56","4","L","0"
"65000V015000","2016/08/13 15:24:00","0","1","0","56","4","S","11"
"65000V015000","2016/08/13 15:24:00","0","3","1","55","3","L","0"
"65000V015000","2016/08/13 15:24:00","0","3","1","55","3","S","6"
"65000V015000","2016/08/13 15:24:00","0","5","1","47","3","L","0"
"65000V015000","2016/08/13 15:24:00","0","5","1","47","3","S","5"
"65000V015000","2016/08/13 15:24:00","0","4","1","48","7","L","0"
"65000V015000","2016/08/13 15:24:00","0","4","1","48","7","S","14"
"65000V015640","2016/08/13 15:24:00","0","1","0","48","2","L","0"
"65000V015640","2016/08/13 15:24:00","0","1","0","48","2","S","5"
"65000V015640","2016/08/13 15:24:00","0","2","0","61","5","L","0"
"65000V015640","2016/08/13 15:24:00","0","2","0","61","5","S","12"
"65000V015640","2016/08/13 15:24:00","0","0","0","32","6","L","0"
"65000V015640","2016/08/13 15:24:00","0","0","0","32","6","S","12"
"65000V015640","2016/08/13 15:24:00","0","4","1","33","0","L","0"
"65000V015640","2016/08/13 15:24:00","0","4","1","33","0","S","0"
"65000V015640","2016/08/13 15:24:00","0","3","1","46","1","L","0"
"65000V015640","2016/08/13 15:24:00","0","3","1","46","1","S","5"
