"vdid","datacollecttime","status","vsrid","vsrdir","speed","laneoccupy","carid","volume"
"65000V005740","2016/08/10 16:54:00","3","1","0","-99","-99","L","-99"
"65000V005740","2016/08/10 16:54:00","3","1","0","-99","-99","S","-99"
"65000V005740","2016/08/10 16:54:00","3","2","0","-99","-99","L","-99"
"65000V005740","2016/08/10 16:54:00","3","2","0","-99","-99","S","-99"
"65000V005740","2016/08/10 16:54:00","3","0","0","-99","-99","L","-99"
"65000V005740","2016/08/10 16:54:00","3","0","0","-99","-99","S","-99"
"65000V005740","2016/08/10 16:54:00","3","4","1","-99","-99","L","-99"
"65000V005740","2016/08/10 16:54:00","3","4","1","-99","-99","S","-99"
"65000V005740","2016/08/10 16:54:00","3","3","1","-99","-99","L","-99"
"65000V005740","2016/08/10 16:54:00","3","3","1","-99","-99","S","-99"
"65000V005740","2016/08/10 16:54:00","3","5","1","-99","-99","L","-99"
"65000V005740","2016/08/10 16:54:00","3","5","1","-99","-99","S","-99"
"65000V006200","2016/08/10 16:54:00","0","1","0","57","7","L","1"
"65000V006200","2016/08/10 16:54:00","0","1","0","57","7","S","14"
"65000V006200","2016/08/10 16:54:00","0","0","0","51","11","L","0"
"65000V006200","2016/08/10 16:54:00","0","0","0","51","11","S","23"
"65000V006200","2016/08/10 16:54:00","0","2","0","45","18","L","7"
"65000V006200","2016/08/10 16:54:00","0","2","0","45","18","S","11"
"65000V008130","2016/08/10 16:54:00","3","0","0","-99","-99","L","-99"
"65000V008130","2016/08/10 16:54:00","3","0","0","-99","-99","S","-99"
"65000V008130","2016/08/10 16:54:00","3","1","0","-99","-99","L","-99"
"65000V008130","2016/08/10 16:54:00","3","1","0","-99","-99","S","-99"
"65000V008130","2016/08/10 16:54:00","3","3","1","-99","-99","L","-99"
"65000V008130","2016/08/10 16:54:00","3","3","1","-99","-99","S","-99"
"65000V008130","2016/08/10 16:54:00","3","2","1","-99","-99","L","-99"
"65000V008130","2016/08/10 16:54:00","3","2","1","-99","-99","S","-99"
"65000V008940","2016/08/10 16:54:00","0","0","0","71","2","L","2"
"65000V008940","2016/08/10 16:54:00","0","0","0","71","2","S","5"
"65000V008940","2016/08/10 16:54:00","0","1","0","63","3","L","2"
"65000V008940","2016/08/10 16:54:00","0","1","0","63","3","S","6"
"65000V008940","2016/08/10 16:54:00","0","2","0","63","8","L","10"
"65000V008940","2016/08/10 16:54:00","0","2","0","63","8","S","14"
"65000V008940","2016/08/10 16:54:00","0","3","1","73","2","L","0"
"65000V008940","2016/08/10 16:54:00","0","3","1","73","2","S","8"
"65000V008940","2016/08/10 16:54:00","0","5","1","69","2","L","1"
