"vdid","datacollecttime","status","vsrid","vsrdir","speed","laneoccupy","carid","volume"
"65000V005740","2016/08/10 09:39:00","3","2","0","-99","-99","L","-99"
"65000V005740","2016/08/10 09:39:00","3","2","0","-99","-99","S","-99"
"65000V005740","2016/08/10 09:39:00","3","0","0","-99","-99","L","-99"
"65000V005740","2016/08/10 09:39:00","3","0","0","-99","-99","S","-99"
"65000V005740","2016/08/10 09:39:00","3","1","0","-99","-99","L","-99"
"65000V005740","2016/08/10 09:39:00","3","1","0","-99","-99","S","-99"
"65000V005740","2016/08/10 09:39:00","3","5","1","-99","-99","L","-99"
"65000V005740","2016/08/10 09:39:00","3","5","1","-99","-99","S","-99"
"65000V005740","2016/08/10 09:39:00","3","3","1","-99","-99","L","-99"
"65000V005740","2016/08/10 09:39:00","3","3","1","-99","-99","S","-99"
"65000V005740","2016/08/10 09:39:00","3","4","1","-99","-99","L","-99"
"65000V005740","2016/08/10 09:39:00","3","4","1","-99","-99","S","-99"
"65000V006200","2016/08/10 09:39:00","0","1","0","50","7","L","0"
"65000V006200","2016/08/10 09:39:00","0","1","0","50","7","S","15"
"65000V006200","2016/08/10 09:39:00","0","2","0","44","16","L","4"
"65000V006200","2016/08/10 09:39:00","0","2","0","44","16","S","11"
"65000V006200","2016/08/10 09:39:00","0","0","0","22","18","L","4"
"65000V006200","2016/08/10 09:39:00","0","0","0","22","18","S","9"
"65000V008130","2016/08/10 09:39:00","3","1","0","-99","-99","L","-99"
"65000V008130","2016/08/10 09:39:00","3","1","0","-99","-99","S","-99"
"65000V008130","2016/08/10 09:39:00","3","0","0","-99","-99","L","-99"
"65000V008130","2016/08/10 09:39:00","3","0","0","-99","-99","S","-99"
"65000V008130","2016/08/10 09:39:00","3","2","1","-99","-99","L","-99"
"65000V008130","2016/08/10 09:39:00","3","2","1","-99","-99","S","-99"
"65000V008130","2016/08/10 09:39:00","3","3","1","-99","-99","L","-99"
"65000V008130","2016/08/10 09:39:00","3","3","1","-99","-99","S","-99"
"65000V008940","2016/08/10 09:39:00","0","0","0","75","0","L","0"
"65000V008940","2016/08/10 09:39:00","0","0","0","75","0","S","1"
"65000V008940","2016/08/10 09:39:00","0","2","0","73","1","L","0"
"65000V008940","2016/08/10 09:39:00","0","2","0","73","1","S","6"
"65000V008940","2016/08/10 09:39:00","0","1","0","70","1","L","1"
"65000V008940","2016/08/10 09:39:00","0","1","0","70","1","S","4"
"65000V008940","2016/08/10 09:39:00","0","5","1","66","1","L","1"
"65000V008940","2016/08/10 09:39:00","0","5","1","66","1","S","3"
"65000V008940","2016/08/10 09:39:00","0","3","1","70","2","L","1"
"65000V008940","2016/08/10 09:39:00","0","3","1","70","2","S","5"
"65000V008940","2016/08/10 09:39:00","0","4","1","59","3","L","2"
"65000V008940","2016/08/10 09:39:00","0","4","1","59","3","S","2"
"65000V009560","2016/08/10 09:39:00","0","0","0","65","1","L","0"
"65000V009560","2016/08/10 09:39:00","0","0","0","65","1","S","2"
"65000V009560","2016/08/10 09:39:00","0","1","0","67","1","L","0"
"65000V009560","2016/08/10 09:39:00","0","1","0","67","1","S","3"
"65000V009560","2016/08/10 09:39:00","0","2","1","53","1","L","0"
"65000V009560","2016/08/10 09:39:00","0","2","1","53","1","S","3"
"65000V009560","2016/08/10 09:39:00","0","3","1","55","3","L","1"
"65000V009560","2016/08/10 09:39:00","0","3","1","55","3","S","3"
"65000V009850","2016/08/10 09:39:00","3","0","0","-99","-99","L","-99"
"65000V009850","2016/08/10 09:39:00","3","0","0","-99","-99","S","-99"
"65000V009850","2016/08/10 09:39:00","3","1","0","-99","-99","L","-99"
"65000V009850","2016/08/10 09:39:00","3","1","0","-99","-99","S","-99"
"65000V010000","2016/08/10 09:39:00","3","1","0","-99","-99","L","-99"
"65000V010000","2016/08/10 09:39:00","3","1","0","-99","-99","S","-99"
"65000V010000","2016/08/10 09:39:00","3","0","0","-99","-99","L","-99"
"65000V010000","2016/08/10 09:39:00","3","0","0","-99","-99","S","-99"
