"vdid","datacollecttime","status","vsrid","vsrdir","speed","laneoccupy","carid","volume"
"65000V005740","2016/08/09 09:34:00","3","1","0","-99","-99","L","-99"
"65000V005740","2016/08/09 09:34:00","3","1","0","-99","-99","S","-99"
"65000V005740","2016/08/09 09:34:00","3","0","0","-99","-99","L","-99"
"65000V005740","2016/08/09 09:34:00","3","0","0","-99","-99","S","-99"
"65000V005740","2016/08/09 09:34:00","3","2","0","-99","-99","L","-99"
"65000V005740","2016/08/09 09:34:00","3","2","0","-99","-99","S","-99"
"65000V005740","2016/08/09 09:34:00","3","3","1","-99","-99","L","-99"
"65000V005740","2016/08/09 09:34:00","3","3","1","-99","-99","S","-99"
"65000V005740","2016/08/09 09:34:00","3","4","1","-99","-99","L","-99"
"65000V005740","2016/08/09 09:34:00","3","4","1","-99","-99","S","-99"
"65000V005740","2016/08/09 09:34:00","3","5","1","-99","-99","L","-99"
"65000V005740","2016/08/09 09:34:00","3","5","1","-99","-99","S","-99"
"65000V006200","2016/08/09 09:34:00","0","1","0","52","7","L","0"
"65000V006200","2016/08/09 09:34:00","0","1","0","52","7","S","14"
"65000V006200","2016/08/09 09:34:00","0","2","0","51","12","L","3"
"65000V006200","2016/08/09 09:34:00","0","2","0","51","12","S","17"
"65000V006200","2016/08/09 09:34:00","0","0","0","33","19","L","1"
"65000V006200","2016/08/09 09:34:00","0","0","0","33","19","S","23"
"65000V008130","2016/08/09 09:34:00","3","1","0","-99","-99","L","-99"
"65000V008130","2016/08/09 09:34:00","3","1","0","-99","-99","S","-99"
"65000V008130","2016/08/09 09:34:00","3","0","0","-99","-99","L","-99"
"65000V008130","2016/08/09 09:34:00","3","0","0","-99","-99","S","-99"
"65000V008130","2016/08/09 09:34:00","3","3","1","-99","-99","L","-99"
"65000V008130","2016/08/09 09:34:00","3","3","1","-99","-99","S","-99"
"65000V008130","2016/08/09 09:34:00","3","2","1","-99","-99","L","-99"
"65000V008130","2016/08/09 09:34:00","3","2","1","-99","-99","S","-99"
"65000V008940","2016/08/09 09:34:00","0","2","0","67","1","L","1"
"65000V008940","2016/08/09 09:34:00","0","2","0","67","1","S","3"
"65000V008940","2016/08/09 09:34:00","0","1","0","66","2","L","2"
"65000V008940","2016/08/09 09:34:00","0","1","0","66","2","S","3"
"65000V008940","2016/08/09 09:34:00","0","0","0","56","6","L","4"
"65000V008940","2016/08/09 09:34:00","0","0","0","56","6","S","1"
"65000V008940","2016/08/09 09:34:00","0","5","1","71","0","L","0"
"65000V008940","2016/08/09 09:34:00","0","5","1","71","0","S","2"
"65000V008940","2016/08/09 09:34:00","0","3","1","0","0","L","0"
"65000V008940","2016/08/09 09:34:00","0","3","1","0","0","S","0"
"65000V008940","2016/08/09 09:34:00","0","4","1","60","1","L","1"
"65000V008940","2016/08/09 09:34:00","0","4","1","60","1","S","1"
"65000V009560","2016/08/09 09:34:00","0","0","0","75","0","L","0"
"65000V009560","2016/08/09 09:34:00","0","0","0","75","0","S","1"
"65000V009560","2016/08/09 09:34:00","0","1","0","58","1","L","0"
"65000V009560","2016/08/09 09:34:00","0","1","0","58","1","S","2"
"65000V009560","2016/08/09 09:34:00","0","3","1","64","1","L","0"
"65000V009560","2016/08/09 09:34:00","0","3","1","64","1","S","3"
"65000V009560","2016/08/09 09:34:00","0","2","1","67","1","L","0"
"65000V009560","2016/08/09 09:34:00","0","2","1","67","1","S","2"
"65000V009850","2016/08/09 09:34:00","3","1","0","-99","-99","L","-99"
"65000V009850","2016/08/09 09:34:00","3","1","0","-99","-99","S","-99"
"65000V009850","2016/08/09 09:34:00","3","0","0","-99","-99","L","-99"
"65000V009850","2016/08/09 09:34:00","3","0","0","-99","-99","S","-99"
"65000V010000","2016/08/09 09:34:00","3","1","0","-99","-99","L","-99"
"65000V010000","2016/08/09 09:34:00","3","1","0","-99","-99","S","-99"
"65000V010000","2016/08/09 09:34:00","3","0","0","-99","-99","L","-99"
"65000V010000","2016/08/09 09:34:00","3","0","0","-99","-99","S","-99"
"65000V010000","2016/08/09 09:34:00","3","3","1","-99","-99","L","-99"
"65000V010000","2016/08/09 09:34:00","3","3","1","-99","-99","S","-99"
"65000V010000","2016/08/09 09:34:00","3","2","1","-99","-99","L","-99"
"65000V010000","2016/08/09 09:34:00","3","2","1","-99","-99","S","-99"
"65000V010010","2016/08/09 09:34:00","0","1","0","39","1","L","0"
"65000V010010","2016/08/09 09:34:00","0","1","0","39","1","S","2"
"65000V010010","2016/08/09 09:34:00","0","0","0","58","1","L","0"
"65000V010010","2016/08/09 09:34:00","0","0","0","58","1","S","1"
"65000V010200","2016/08/09 09:34:00","0","0","0","55","4","L","0"
"65000V010200","2016/08/09 09:34:00","0","0","0","55","4","S","8"
"65000V010200","2016/08/09 09:34:00","0","1","1","52","3","L","0"
"65000V010200","2016/08/09 09:34:00","0","1","1","52","3","S","6"
"65000V010240","2016/08/09 09:34:00","3","0","0","-99","-99","L","-99"
"65000V010240","2016/08/09 09:34:00","3","0","0","-99","-99","S","-99"
"65000V010240","2016/08/09 09:34:00","3","1","1","-99","-99","L","-99"
"65000V010240","2016/08/09 09:34:00","3","1","1","-99","-99","S","-99"
"65000V015000","2016/08/09 09:34:00","0","0","0","63","0","L","0"
"65000V015000","2016/08/09 09:34:00","0","0","0","63","0","S","1"
"65000V015000","2016/08/09 09:34:00","0","2","0","30","1","L","1"
"65000V015000","2016/08/09 09:34:00","0","2","0","30","1","S","0"
"65000V015000","2016/08/09 09:34:00","0","1","0","49","2","L","1"
"65000V015000","2016/08/09 09:34:00","0","1","0","49","2","S","2"
"65000V015000","2016/08/09 09:34:00","0","3","1","62","3","L","1"
"65000V015000","2016/08/09 09:34:00","0","3","1","62","3","S","4"
"65000V015000","2016/08/09 09:34:00","0","4","1","53","7","L","0"
"65000V015000","2016/08/09 09:34:00","0","4","1","53","7","S","14"
"65000V015000","2016/08/09 09:34:00","0","5","1","46","7","L","1"
"65000V015000","2016/08/09 09:34:00","0","5","1","46","7","S","9"
"65000V015640","2016/08/09 09:34:00","0","1","0","43","3","L","0"
"65000V015640","2016/08/09 09:34:00","0","1","0","43","3","S","6"
"65000V015640","2016/08/09 09:34:00","0","0","0","37","6","L","0"
"65000V015640","2016/08/09 09:34:00","0","0","0","37","6","S","9"
"65000V015640","2016/08/09 09:34:00","0","2","0","46","18","L","1"
"65000V015640","2016/08/09 09:34:00","0","2","0","46","18","S","19"
"65000V015640","2016/08/09 09:34:00","0","4","1","43","4","L","0"
"65000V015640","2016/08/09 09:34:00","0","4","1","43","4","S","13"
"65000V015640","2016/08/09 09:34:00","0","3","1","57","5","L","0"
"65000V015640","2016/08/09 09:34:00","0","3","1","57","5","S","9"
"65000V015640","2016/08/09 09:34:00","0","5","1","48","10","L","0"
"65000V015640","2016/08/09 09:34:00","0","5","1","48","10","S","16"
"65000V017200","2016/08/09 09:34:00","0","0","0","56","2","L","0"
"65000V017200","2016/08/09 09:34:00","0","0","0","56","2","S","5"
"65000V017200","2016/08/09 09:34:00","0","1","1","49","5","L","0"
"65000V017200","2016/08/09 09:34:00","0","1","1","49","5","S","11"
"65000V021150","2016/08/09 09:34:00","0","1","0","48","0","L","0"
"65000V021150","2016/08/09 09:34:00","0","1","0","48","0","S","0"
"65000V021150","2016/08/09 09:34:00","0","0","0","53","0","L","0"
"65000V021150","2016/08/09 09:34:00","0","0","0","53","0","S","0"
"65000V021150","2016/08/09 09:34:00","0","2","0","54","0","L","0"
"65000V021150","2016/08/09 09:34:00","0","2","0","54","0","S","0"
"65000V021150","2016/08/09 09:34:00","0","5","1","37","0","L","0"
"65000V021150","2016/08/09 09:34:00","0","5","1","37","0","S","0"
"65000V021150","2016/08/09 09:34:00","0","3","1","56","1","L","0"
"65000V021150","2016/08/09 09:34:00","0","3","1","56","1","S","1"
"65000V021150","2016/08/09 09:34:00","0","4","1","48","4","L","0"
"65000V021150","2016/08/09 09:34:00","0","4","1","48","4","S","5"
"65000V022250","2016/08/09 09:34:00","0","0","0","49","4","L","2"
"65000V022250","2016/08/09 09:34:00","0","0","0","49","4","S","2"
"65000V022250","2016/08/09 09:34:00","0","1","0","30","4","L","1"
"65000V022250","2016/08/09 09:34:00","0","1","0","30","4","S","2"
"65000V022250","2016/08/09 09:34:00","0","3","1","39","2","L","0"
"65000V022250","2016/08/09 09:34:00","0","3","1","39","2","S","4"
"65000V022250","2016/08/09 09:34:00","0","2","1","49","2","L","1"
"65000V022250","2016/08/09 09:34:00","0","2","1","49","2","S","1"
"65000V026110","2016/08/09 09:34:00","0","0","0","63","2","L","0"
"65000V026110","2016/08/09 09:34:00","0","0","0","63","2","S","7"
"65000V026110","2016/08/09 09:34:00","0","1","0","63","2","L","1"
"65000V026110","2016/08/09 09:34:00","0","1","0","63","2","S","4"
"65000V026160","2016/08/09 09:34:00","0","1","0","55","1","L","0"
"65000V026160","2016/08/09 09:34:00","0","1","0","55","1","S","2"
"65000V026160","2016/08/09 09:34:00","0","0","0","62","1","L","0"
"65000V026160","2016/08/09 09:34:00","0","0","0","62","1","S","2"
"65000V026160","2016/08/09 09:34:00","0","3","1","64","3","L","0"
"65000V026160","2016/08/09 09:34:00","0","3","1","64","3","S","7"
"65000V026160","2016/08/09 09:34:00","0","2","1","65","3","L","0"
"65000V026160","2016/08/09 09:34:00","0","2","1","65","3","S","7"
"65000V026340","2016/08/09 09:34:00","0","3","0","64","1","L","0"
"65000V026340","2016/08/09 09:34:00","0","3","0","64","1","S","2"
"65000V026340","2016/08/09 09:34:00","0","1","0","50","12","L","1"
"65000V026340","2016/08/09 09:34:00","0","1","0","50","12","S","11"
"65000V026340","2016/08/09 09:34:00","0","2","0","47","20","L","3"
"65000V026340","2016/08/09 09:34:00","0","2","0","47","20","S","13"
"65000V026340","2016/08/09 09:34:00","0","0","0","53","69","L","2"
"65000V026340","2016/08/09 09:34:00","0","0","0","53","69","S","15"
"65000V026471","2016/08/09 09:34:00","3","1","0","-99","-99","L","-99"
"65000V026471","2016/08/09 09:34:00","3","1","0","-99","-99","S","-99"
"65000V026471","2016/08/09 09:34:00","3","0","0","-99","-99","L","-99"
"65000V026471","2016/08/09 09:34:00","3","0","0","-99","-99","S","-99"
"65000V026471","2016/08/09 09:34:00","3","2","0","-99","-99","L","-99"
"65000V026471","2016/08/09 09:34:00","3","2","0","-99","-99","S","-99"
"65000V026471","2016/08/09 09:34:00","3","3","0","-99","-99","L","-99"
"65000V026471","2016/08/09 09:34:00","3","3","0","-99","-99","S","-99"
"65000V027840","2016/08/09 09:34:00","0","0","0","54","2","L","0"
"65000V027840","2016/08/09 09:34:00","0","0","0","54","2","S","5"
"65000V027840","2016/08/09 09:34:00","0","1","0","46","4","L","0"
"65000V027840","2016/08/09 09:34:00","0","1","0","46","4","S","8"
"65000V027840","2016/08/09 09:34:00","0","3","1","73","1","L","0"
"65000V027840","2016/08/09 09:34:00","0","3","1","73","1","S","3"
"65000V027840","2016/08/09 09:34:00","0","2","1","67","4","L","0"
"65000V027840","2016/08/09 09:34:00","0","2","1","67","4","S","9"
"65000V028140","2016/08/09 09:34:00","3","1","0","-99","-99","L","-99"
"65000V028140","2016/08/09 09:34:00","3","1","0","-99","-99","S","-99"
"65000V028140","2016/08/09 09:34:00","3","2","0","-99","-99","L","-99"
"65000V028140","2016/08/09 09:34:00","3","2","0","-99","-99","S","-99"
"65000V028140","2016/08/09 09:34:00","3","0","0","-99","-99","L","-99"
"65000V028140","2016/08/09 09:34:00","3","0","0","-99","-99","S","-99"
"65000V028140","2016/08/09 09:34:00","3","3","1","-99","-99","L","-99"
"65000V028140","2016/08/09 09:34:00","3","3","1","-99","-99","S","-99"
"65000V028140","2016/08/09 09:34:00","3","4","1","-99","-99","L","-99"
"65000V028140","2016/08/09 09:34:00","3","4","1","-99","-99","S","-99"
"65000V030550","2016/08/09 09:34:00","0","2","0","-99","-99","L","-99"
"65000V030550","2016/08/09 09:34:00","0","2","0","-99","-99","S","-99"
"65000V030550","2016/08/09 09:34:00","0","0","0","-99","-99","L","-99"
"65000V030550","2016/08/09 09:34:00","0","0","0","-99","-99","S","-99"
"65000V030550","2016/08/09 09:34:00","0","1","0","-99","-99","L","-99"
"65000V030550","2016/08/09 09:34:00","0","1","0","-99","-99","S","-99"
"65000V030840","2016/08/09 09:34:00","3","0","0","-99","-99","L","-99"
"65000V030840","2016/08/09 09:34:00","3","0","0","-99","-99","S","-99"
"65000V030840","2016/08/09 09:34:00","3","1","0","-99","-99","L","-99"
"65000V030840","2016/08/09 09:34:00","3","1","0","-99","-99","S","-99"
"65000V030840","2016/08/09 09:34:00","3","3","1","-99","-99","L","-99"
"65000V030840","2016/08/09 09:34:00","3","3","1","-99","-99","S","-99"
"65000V030840","2016/08/09 09:34:00","3","2","1","-99","-99","L","-99"
"65000V030840","2016/08/09 09:34:00","3","2","1","-99","-99","S","-99"
"65000V031110","2016/08/09 09:34:00","3","0","0","-99","-99","L","-99"
