"vdid","datacollecttime","status","vsrid","vsrdir","speed","laneoccupy","carid","volume"
"65000V005740","2016/08/10 14:54:00","3","1","0","-99","-99","L","-99"
"65000V005740","2016/08/10 14:54:00","3","1","0","-99","-99","S","-99"
"65000V005740","2016/08/10 14:54:00","3","2","0","-99","-99","L","-99"
"65000V005740","2016/08/10 14:54:00","3","2","0","-99","-99","S","-99"
"65000V005740","2016/08/10 14:54:00","3","0","0","-99","-99","L","-99"
"65000V005740","2016/08/10 14:54:00","3","0","0","-99","-99","S","-99"
"65000V005740","2016/08/10 14:54:00","3","4","1","-99","-99","L","-99"
"65000V005740","2016/08/10 14:54:00","3","4","1","-99","-99","S","-99"
"65000V005740","2016/08/10 14:54:00","3","5","1","-99","-99","L","-99"
"65000V005740","2016/08/10 14:54:00","3","5","1","-99","-99","S","-99"
"65000V005740","2016/08/10 14:54:00","3","3","1","-99","-99","L","-99"
"65000V005740","2016/08/10 14:54:00","3","3","1","-99","-99","S","-99"
"65000V006200","2016/08/10 14:54:00","0","0","0","52","11","L","1"
"65000V006200","2016/08/10 14:54:00","0","0","0","52","11","S","20"
"65000V006200","2016/08/10 14:54:00","0","1","0","48","11","L","2"
"65000V006200","2016/08/10 14:54:00","0","1","0","48","11","S","13"
"65000V006200","2016/08/10 14:54:00","0","2","0","43","12","L","3"
"65000V006200","2016/08/10 14:54:00","0","2","0","43","12","S","12"
"65000V008130","2016/08/10 14:54:00","3","1","0","-99","-99","L","-99"
"65000V008130","2016/08/10 14:54:00","3","1","0","-99","-99","S","-99"
"65000V008130","2016/08/10 14:54:00","3","0","0","-99","-99","L","-99"
"65000V008130","2016/08/10 14:54:00","3","0","0","-99","-99","S","-99"
"65000V008130","2016/08/10 14:54:00","3","3","1","-99","-99","L","-99"
"65000V008130","2016/08/10 14:54:00","3","3","1","-99","-99","S","-99"
"65000V008130","2016/08/10 14:54:00","3","2","1","-99","-99","L","-99"
"65000V008130","2016/08/10 14:54:00","3","2","1","-99","-99","S","-99"
"65000V008940","2016/08/10 14:54:00","0","1","0","69","2","L","0"
"65000V008940","2016/08/10 14:54:00","0","1","0","69","2","S","6"
"65000V008940","2016/08/10 14:54:00","0","0","0","68","2","L","1"
"65000V008940","2016/08/10 14:54:00","0","0","0","68","2","S","3"
"65000V008940","2016/08/10 14:54:00","0","2","0","62","3","L","4"
"65000V008940","2016/08/10 14:54:00","0","2","0","62","3","S","3"
"65000V008940","2016/08/10 14:54:00","0","3","1","67","2","L","3"
"65000V008940","2016/08/10 14:54:00","0","3","1","67","2","S","5"
"65000V008940","2016/08/10 14:54:00","0","5","1","68","2","L","2"
"65000V008940","2016/08/10 14:54:00","0","5","1","68","2","S","4"
"65000V008940","2016/08/10 14:54:00","0","4","1","66","3","L","3"
"65000V008940","2016/08/10 14:54:00","0","4","1","66","3","S","6"
"65000V009560","2016/08/10 14:54:00","0","0","0","68","0","L","0"
"65000V009560","2016/08/10 14:54:00","0","0","0","68","0","S","1"
"65000V009560","2016/08/10 14:54:00","0","1","0","60","1","L","1"
