"vdid","datacollecttime","status","vsrid","vsrdir","speed","laneoccupy","carid","volume"
"65000V005740","2016/08/15 08:49:00","3","2","0","-99","-99","L","-99"
"65000V005740","2016/08/15 08:49:00","3","2","0","-99","-99","S","-99"
"65000V005740","2016/08/15 08:49:00","3","0","0","-99","-99","L","-99"
"65000V005740","2016/08/15 08:49:00","3","0","0","-99","-99","S","-99"
"65000V005740","2016/08/15 08:49:00","3","1","0","-99","-99","L","-99"
"65000V005740","2016/08/15 08:49:00","3","1","0","-99","-99","S","-99"
"65000V005740","2016/08/15 08:49:00","3","5","1","-99","-99","L","-99"
"65000V005740","2016/08/15 08:49:00","3","5","1","-99","-99","S","-99"
"65000V005740","2016/08/15 08:49:00","3","3","1","-99","-99","L","-99"
"65000V005740","2016/08/15 08:49:00","3","3","1","-99","-99","S","-99"
"65000V005740","2016/08/15 08:49:00","3","4","1","-99","-99","L","-99"
"65000V005740","2016/08/15 08:49:00","3","4","1","-99","-99","S","-99"
"65000V006200","2016/08/15 08:49:00","0","1","0","58","3","L","0"
"65000V006200","2016/08/15 08:49:00","0","1","0","58","3","S","8"
"65000V006200","2016/08/15 08:49:00","0","2","0","49","10","L","1"
"65000V006200","2016/08/15 08:49:00","0","2","0","49","10","S","18"
"65000V006200","2016/08/15 08:49:00","0","0","0","53","11","L","0"
"65000V006200","2016/08/15 08:49:00","0","0","0","53","11","S","23"
"65000V008130","2016/08/15 08:49:00","3","1","0","-99","-99","L","-99"
"65000V008130","2016/08/15 08:49:00","3","1","0","-99","-99","S","-99"
"65000V008130","2016/08/15 08:49:00","3","0","0","-99","-99","L","-99"
"65000V008130","2016/08/15 08:49:00","3","0","0","-99","-99","S","-99"
"65000V008130","2016/08/15 08:49:00","3","2","1","-99","-99","L","-99"
"65000V008130","2016/08/15 08:49:00","3","2","1","-99","-99","S","-99"
"65000V008130","2016/08/15 08:49:00","3","3","1","-99","-99","L","-99"
"65000V008130","2016/08/15 08:49:00","3","3","1","-99","-99","S","-99"
"65000V008940","2016/08/15 08:49:00","0","1","0","69","2","L","1"
"65000V008940","2016/08/15 08:49:00","0","1","0","69","2","S","8"
"65000V008940","2016/08/15 08:49:00","0","2","0","65","3","L","4"
"65000V008940","2016/08/15 08:49:00","0","2","0","65","3","S","6"
"65000V008940","2016/08/15 08:49:00","0","0","0","68","3","L","1"
"65000V008940","2016/08/15 08:49:00","0","0","0","68","3","S","5"
"65000V008940","2016/08/15 08:49:00","0","3","1","64","3","L","3"
"65000V008940","2016/08/15 08:49:00","0","3","1","64","3","S","5"
"65000V008940","2016/08/15 08:49:00","0","5","1","65","3","L","2"
"65000V008940","2016/08/15 08:49:00","0","5","1","65","3","S","5"
"65000V008940","2016/08/15 08:49:00","0","4","1","63","5","L","5"
"65000V008940","2016/08/15 08:49:00","0","4","1","63","5","S","4"
"65000V009560","2016/08/15 08:49:00","0","0","0","0","0","L","0"
"65000V009560","2016/08/15 08:49:00","0","0","0","0","0","S","0"
"65000V009560","2016/08/15 08:49:00","0","1","0","63","1","L","0"
"65000V009560","2016/08/15 08:49:00","0","1","0","63","1","S","2"
"65000V009560","2016/08/15 08:49:00","0","3","1","63","1","L","0"
"65000V009560","2016/08/15 08:49:00","0","3","1","63","1","S","4"
"65000V009560","2016/08/15 08:49:00","0","2","1","57","2","L","0"
"65000V009560","2016/08/15 08:49:00","0","2","1","57","2","S","4"
"65000V009850","2016/08/15 08:49:00","3","0","0","-99","-99","L","-99"
"65000V009850","2016/08/15 08:49:00","3","0","0","-99","-99","S","-99"
"65000V009850","2016/08/15 08:49:00","3","1","0","-99","-99","L","-99"
"65000V009850","2016/08/15 08:49:00","3","1","0","-99","-99","S","-99"
"65000V010000","2016/08/15 08:49:00","3","1","0","-99","-99","L","-99"
"65000V010000","2016/08/15 08:49:00","3","1","0","-99","-99","S","-99"
"65000V010000","2016/08/15 08:49:00","3","0","0","-99","-99","L","-99"
"65000V010000","2016/08/15 08:49:00","3","0","0","-99","-99","S","-99"
"65000V010000","2016/08/15 08:49:00","3","2","1","-99","-99","L","-99"
"65000V010000","2016/08/15 08:49:00","3","2","1","-99","-99","S","-99"
"65000V010000","2016/08/15 08:49:00","3","3","1","-99","-99","L","-99"
"65000V010000","2016/08/15 08:49:00","3","3","1","-99","-99","S","-99"
"65000V010010","2016/08/15 08:49:00","0","0","0","0","0","L","0"
"65000V010010","2016/08/15 08:49:00","0","0","0","0","0","S","0"
"65000V010010","2016/08/15 08:49:00","0","1","0","0","0","L","0"
"65000V010010","2016/08/15 08:49:00","0","1","0","0","0","S","0"
"65000V010200","2016/08/15 08:49:00","0","0","0","57","8","L","2"
"65000V010200","2016/08/15 08:49:00","0","0","0","57","8","S","13"
"65000V010200","2016/08/15 08:49:00","0","1","1","56","1","L","0"
"65000V010200","2016/08/15 08:49:00","0","1","1","56","1","S","3"
"65000V010240","2016/08/15 08:49:00","3","0","0","-99","-99","L","-99"
"65000V010240","2016/08/15 08:49:00","3","0","0","-99","-99","S","-99"
"65000V010240","2016/08/15 08:49:00","3","1","1","-99","-99","L","-99"
"65000V010240","2016/08/15 08:49:00","3","1","1","-99","-99","S","-99"
"65000V015000","2016/08/15 08:49:00","0","0","0","46","0","L","0"
"65000V015000","2016/08/15 08:49:00","0","0","0","46","0","S","1"
"65000V015000","2016/08/15 08:49:00","0","1","0","38","5","L","2"
"65000V015000","2016/08/15 08:49:00","0","1","0","38","5","S","2"
"65000V015000","2016/08/15 08:49:00","0","2","0","40","11","L","3"
"65000V015000","2016/08/15 08:49:00","0","2","0","40","11","S","1"
"65000V015000","2016/08/15 08:49:00","0","3","1","0","0","L","0"
"65000V015000","2016/08/15 08:49:00","0","3","1","0","0","S","0"
"65000V015000","2016/08/15 08:49:00","0","5","1","38","1","L","0"
"65000V015000","2016/08/15 08:49:00","0","5","1","38","1","S","1"
"65000V015000","2016/08/15 08:49:00","0","4","1","48","2","L","1"
"65000V015000","2016/08/15 08:49:00","0","4","1","48","2","S","1"
"65000V015640","2016/08/15 08:49:00","0","1","0","59","1","L","0"
"65000V015640","2016/08/15 08:49:00","0","1","0","59","1","S","3"
"65000V015640","2016/08/15 08:49:00","0","0","0","37","3","L","0"
"65000V015640","2016/08/15 08:49:00","0","0","0","37","3","S","5"
"65000V015640","2016/08/15 08:49:00","0","2","0","40","8","L","1"
"65000V015640","2016/08/15 08:49:00","0","2","0","40","8","S","7"
"65000V015640","2016/08/15 08:49:00","0","4","1","53","2","L","1"
"65000V015640","2016/08/15 08:49:00","0","4","1","53","2","S","3"
"65000V015640","2016/08/15 08:49:00","0","3","1","43","6","L","0"
"65000V015640","2016/08/15 08:49:00","0","3","1","43","6","S","4"
"65000V015640","2016/08/15 08:49:00","0","5","1","53","25","L","3"
"65000V015640","2016/08/15 08:49:00","0","5","1","53","25","S","19"
"65000V017200","2016/08/15 08:49:00","0","0","0","55","5","L","0"
"65000V017200","2016/08/15 08:49:00","0","0","0","55","5","S","14"
"65000V017200","2016/08/15 08:49:00","0","1","1","48","5","L","0"
"65000V017200","2016/08/15 08:49:00","0","1","1","48","5","S","11"
"65000V021150","2016/08/15 08:49:00","0","0","0","40","1","L","1"
"65000V021150","2016/08/15 08:49:00","0","0","0","40","1","S","0"
"65000V021150","2016/08/15 08:49:00","0","1","0","57","3","L","0"
"65000V021150","2016/08/15 08:49:00","0","1","0","57","3","S","4"
"65000V021150","2016/08/15 08:49:00","0","2","0","57","5","L","1"
"65000V021150","2016/08/15 08:49:00","0","2","0","57","5","S","4"
"65000V021150","2016/08/15 08:49:00","0","5","1","33","0","L","0"
"65000V021150","2016/08/15 08:49:00","0","5","1","33","0","S","0"
"65000V021150","2016/08/15 08:49:00","0","3","1","51","0","L","0"
"65000V021150","2016/08/15 08:49:00","0","3","1","51","0","S","0"
"65000V021150","2016/08/15 08:49:00","0","4","1","41","1","L","0"
"65000V021150","2016/08/15 08:49:00","0","4","1","41","1","S","3"
"65000V022250","2016/08/15 08:49:00","0","0","0","0","0","L","0"
"65000V022250","2016/08/15 08:49:00","0","0","0","0","0","S","0"
"65000V022250","2016/08/15 08:49:00","0","1","0","51","2","L","1"
"65000V022250","2016/08/15 08:49:00","0","1","0","51","2","S","1"
"65000V022250","2016/08/15 08:49:00","0","3","1","0","0","L","0"
"65000V022250","2016/08/15 08:49:00","0","3","1","0","0","S","0"
"65000V022250","2016/08/15 08:49:00","0","2","1","0","0","L","0"
"65000V022250","2016/08/15 08:49:00","0","2","1","0","0","S","0"
"65000V026110","2016/08/15 08:49:00","0","1","0","0","0","L","0"
"65000V026110","2016/08/15 08:49:00","0","1","0","0","0","S","0"
"65000V026110","2016/08/15 08:49:00","0","0","0","0","0","L","0"
"65000V026110","2016/08/15 08:49:00","0","0","0","0","0","S","0"
"65000V026160","2016/08/15 08:49:00","0","1","0","68","1","L","0"
"65000V026160","2016/08/15 08:49:00","0","1","0","68","1","S","5"
"65000V026160","2016/08/15 08:49:00","0","0","0","57","3","L","0"
"65000V026160","2016/08/15 08:49:00","0","0","0","57","3","S","6"
"65000V026160","2016/08/15 08:49:00","0","2","1","65","1","L","0"
"65000V026160","2016/08/15 08:49:00","0","2","1","65","1","S","4"
"65000V026160","2016/08/15 08:49:00","0","3","1","63","1","L","0"
"65000V026160","2016/08/15 08:49:00","0","3","1","63","1","S","1"
"65000V026340","2016/08/15 08:49:00","0","3","0","0","0","L","0"
"65000V026340","2016/08/15 08:49:00","0","3","0","0","0","S","0"
"65000V026340","2016/08/15 08:49:00","0","0","0","61","2","L","0"
"65000V026340","2016/08/15 08:49:00","0","0","0","61","2","S","5"
"65000V026340","2016/08/15 08:49:00","0","1","0","48","4","L","1"
"65000V026340","2016/08/15 08:49:00","0","1","0","48","4","S","1"
"65000V026340","2016/08/15 08:49:00","0","2","0","47","5","L","0"
"65000V026340","2016/08/15 08:49:00","0","2","0","47","5","S","5"
"65000V026471","2016/08/15 08:49:00","3","2","0","-99","-99","L","-99"
"65000V026471","2016/08/15 08:49:00","3","2","0","-99","-99","S","-99"
"65000V026471","2016/08/15 08:49:00","3","1","0","-99","-99","L","-99"
"65000V026471","2016/08/15 08:49:00","3","1","0","-99","-99","S","-99"
"65000V026471","2016/08/15 08:49:00","3","0","0","-99","-99","L","-99"
"65000V026471","2016/08/15 08:49:00","3","0","0","-99","-99","S","-99"
"65000V026471","2016/08/15 08:49:00","3","3","0","-99","-99","L","-99"
"65000V026471","2016/08/15 08:49:00","3","3","0","-99","-99","S","-99"
"65000V027840","2016/08/15 08:49:00","0","0","0","0","0","L","0"
"65000V027840","2016/08/15 08:49:00","0","0","0","0","0","S","0"
"65000V027840","2016/08/15 08:49:00","0","1","0","46","2","L","0"
"65000V027840","2016/08/15 08:49:00","0","1","0","46","2","S","3"
"65000V027840","2016/08/15 08:49:00","0","3","1","57","5","L","4"
"65000V027840","2016/08/15 08:49:00","0","3","1","57","5","S","1"
"65000V027840","2016/08/15 08:49:00","0","2","1","54","8","L","4"
"65000V027840","2016/08/15 08:49:00","0","2","1","54","8","S","6"
"65000V028140","2016/08/15 08:49:00","3","0","0","-99","-99","L","-99"
"65000V028140","2016/08/15 08:49:00","3","0","0","-99","-99","S","-99"
"65000V028140","2016/08/15 08:49:00","3","2","0","-99","-99","L","-99"
"65000V028140","2016/08/15 08:49:00","3","2","0","-99","-99","S","-99"
"65000V028140","2016/08/15 08:49:00","3","1","0","-99","-99","L","-99"
"65000V028140","2016/08/15 08:49:00","3","1","0","-99","-99","S","-99"
"65000V028140","2016/08/15 08:49:00","3","3","1","-99","-99","L","-99"
"65000V028140","2016/08/15 08:49:00","3","3","1","-99","-99","S","-99"
"65000V028140","2016/08/15 08:49:00","3","4","1","-99","-99","L","-99"
"65000V028140","2016/08/15 08:49:00","3","4","1","-99","-99","S","-99"
"65000V030550","2016/08/15 08:49:00","0","2","0","-99","-99","L","-99"
"65000V030550","2016/08/15 08:49:00","0","2","0","-99","-99","S","-99"
"65000V030550","2016/08/15 08:49:00","0","1","0","-99","-99","L","-99"
"65000V030550","2016/08/15 08:49:00","0","1","0","-99","-99","S","-99"
"65000V030550","2016/08/15 08:49:00","0","0","0","-99","-99","L","-99"
"65000V030550","2016/08/15 08:49:00","0","0","0","-99","-99","S","-99"
"65000V030840","2016/08/15 08:49:00","3","0","0","-99","-99","L","-99"
"65000V030840","2016/08/15 08:49:00","3","0","0","-99","-99","S","-99"
"65000V030840","2016/08/15 08:49:00","3","1","0","-99","-99","L","-99"
"65000V030840","2016/08/15 08:49:00","3","1","0","-99","-99","S","-99"
"65000V030840","2016/08/15 08:49:00","3","3","1","-99","-99","L","-99"
"65000V030840","2016/08/15 08:49:00","3","3","1","-99","-99","S","-99"
"65000V030840","2016/08/15 08:49:00","3","2","1","-99","-99","L","-99"
"65000V030840","2016/08/15 08:49:00","3","2","1","-99","-99","S","-99"
"65000V031110","2016/08/15 08:49:00","3","1","0","-99","-99","L","-99"
"65000V031110","2016/08/15 08:49:00","3","1","0","-99","-99","S","-99"
"65000V031110","2016/08/15 08:49:00","3","0","0","-99","-99","L","-99"
"65000V031110","2016/08/15 08:49:00","3","0","0","-99","-99","S","-99"
"65000V031110","2016/08/15 08:49:00","3","3","1","-99","-99","L","-99"
"65000V031110","2016/08/15 08:49:00","3","3","1","-99","-99","S","-99"
"65000V031110","2016/08/15 08:49:00","3","2","1","-99","-99","L","-99"
"65000V031110","2016/08/15 08:49:00","3","2","1","-99","-99","S","-99"
"65000V035350","2016/08/15 08:49:00","3","3","0","-99","-99","L","-99"
"65000V035350","2016/08/15 08:49:00","3","3","0","-99","-99","S","-99"
"65000V035350","2016/08/15 08:49:00","3","2","0","-99","-99","L","-99"
"65000V035350","2016/08/15 08:49:00","3","2","0","-99","-99","S","-99"
"65000V035350","2016/08/15 08:49:00","3","1","0","-99","-99","L","-99"
"65000V035350","2016/08/15 08:49:00","3","1","0","-99","-99","S","-99"
"65000V035350","2016/08/15 08:49:00","3","0","0","-99","-99","L","-99"
"65000V035350","2016/08/15 08:49:00","3","0","0","-99","-99","S","-99"
"65000V035620","2016/08/15 08:49:00","0","1","0","69","1","L","1"
"65000V035620","2016/08/15 08:49:00","0","1","0","69","1","S","2"
"65000V035620","2016/08/15 08:49:00","0","0","0","64","2","L","2"
"65000V035620","2016/08/15 08:49:00","0","0","0","64","2","S","5"
"65000V035620","2016/08/15 08:49:00","0","2","1","59","0","L","0"
"65000V035620","2016/08/15 08:49:00","0","2","1","59","0","S","1"
"65000V035620","2016/08/15 08:49:00","0","3","1","54","2","L","3"
"65000V035620","2016/08/15 08:49:00","0","3","1","54","2","S","2"
"65000V036660","2016/08/15 08:49:00","0","0","0","54","2","L","0"
"65000V036660","2016/08/15 08:49:00","0","0","0","54","2","S","3"
"65000V036660","2016/08/15 08:49:00","0","1","0","40","5","L","2"
"65000V036660","2016/08/15 08:49:00","0","1","0","40","5","S","1"
"65000V036660","2016/08/15 08:49:00","0","2","1","53","6","L","1"
"65000V036660","2016/08/15 08:49:00","0","2","1","53","6","S","7"
"65000V036660","2016/08/15 08:49:00","0","3","1","46","7","L","2"
"65000V036660","2016/08/15 08:49:00","0","3","1","46","7","S","2"
"65000V037700","2016/08/15 08:49:00","3","2","0","-99","-99","L","-99"
"65000V037700","2016/08/15 08:49:00","3","2","0","-99","-99","S","-99"
"65000V037700","2016/08/15 08:49:00","3","0","0","-99","-99","L","-99"
"65000V037700","2016/08/15 08:49:00","3","0","0","-99","-99","S","-99"
"65000V037700","2016/08/15 08:49:00","3","1","0","-99","-99","L","-99"
"65000V037700","2016/08/15 08:49:00","3","1","0","-99","-99","S","-99"
"65000V037700","2016/08/15 08:49:00","3","5","1","-99","-99","L","-99"
"65000V037700","2016/08/15 08:49:00","3","5","1","-99","-99","S","-99"
"65000V037700","2016/08/15 08:49:00","3","4","1","-99","-99","L","-99"
"65000V037700","2016/08/15 08:49:00","3","4","1","-99","-99","S","-99"
"65000V037700","2016/08/15 08:49:00","3","3","1","-99","-99","L","-99"
"65000V037700","2016/08/15 08:49:00","3","3","1","-99","-99","S","-99"
