"vdid","datacollecttime","status","vsrid","vsrdir","speed","laneoccupy","carid","volume"
"65000V005740","2016/08/08 17:29:00","3","1","0","-99","-99","L","-99"
"65000V005740","2016/08/08 17:29:00","3","1","0","-99","-99","S","-99"
"65000V005740","2016/08/08 17:29:00","3","2","0","-99","-99","L","-99"
"65000V005740","2016/08/08 17:29:00","3","2","0","-99","-99","S","-99"
"65000V005740","2016/08/08 17:29:00","3","0","0","-99","-99","L","-99"
"65000V005740","2016/08/08 17:29:00","3","0","0","-99","-99","S","-99"
"65000V005740","2016/08/08 17:29:00","3","4","1","-99","-99","L","-99"
"65000V005740","2016/08/08 17:29:00","3","4","1","-99","-99","S","-99"
"65000V005740","2016/08/08 17:29:00","3","3","1","-99","-99","L","-99"
"65000V005740","2016/08/08 17:29:00","3","3","1","-99","-99","S","-99"
"65000V005740","2016/08/08 17:29:00","3","5","1","-99","-99","L","-99"
"65000V005740","2016/08/08 17:29:00","3","5","1","-99","-99","S","-99"
"65000V006200","2016/08/08 17:29:00","0","1","0","56","6","L","1"
"65000V006200","2016/08/08 17:29:00","0","1","0","56","6","S","11"
"65000V006200","2016/08/08 17:29:00","0","2","0","40","13","L","1"
"65000V006200","2016/08/08 17:29:00","0","2","0","40","13","S","20"
"65000V006200","2016/08/08 17:29:00","0","0","0","38","17","L","0"
"65000V006200","2016/08/08 17:29:00","0","0","0","38","17","S","26"
"65000V008130","2016/08/08 17:29:00","3","0","0","-99","-99","L","-99"
"65000V008130","2016/08/08 17:29:00","3","0","0","-99","-99","S","-99"
"65000V008130","2016/08/08 17:29:00","3","1","0","-99","-99","L","-99"
"65000V008130","2016/08/08 17:29:00","3","1","0","-99","-99","S","-99"
"65000V008130","2016/08/08 17:29:00","3","2","1","-99","-99","L","-99"
"65000V008130","2016/08/08 17:29:00","3","2","1","-99","-99","S","-99"
"65000V008130","2016/08/08 17:29:00","3","3","1","-99","-99","L","-99"
"65000V008130","2016/08/08 17:29:00","3","3","1","-99","-99","S","-99"
"65000V008940","2016/08/08 17:29:00","0","1","0","71","2","L","2"
"65000V008940","2016/08/08 17:29:00","0","1","0","71","2","S","7"
"65000V008940","2016/08/08 17:29:00","0","0","0","63","2","L","1"
"65000V008940","2016/08/08 17:29:00","0","0","0","63","2","S","1"
"65000V008940","2016/08/08 17:29:00","0","2","0","71","4","L","1"
"65000V008940","2016/08/08 17:29:00","0","2","0","71","4","S","14"
"65000V008940","2016/08/08 17:29:00","0","3","1","61","2","L","3"
"65000V008940","2016/08/08 17:29:00","0","3","1","61","2","S","5"
