"vdid","datacollecttime","status","vsrid","vsrdir","speed","laneoccupy","carid","volume"
"65000V005740","2016/08/08 10:29:00","3","0","0","-99","-99","L","-99"
"65000V005740","2016/08/08 10:29:00","3","0","0","-99","-99","S","-99"
"65000V005740","2016/08/08 10:29:00","3","2","0","-99","-99","L","-99"
"65000V005740","2016/08/08 10:29:00","3","2","0","-99","-99","S","-99"
"65000V005740","2016/08/08 10:29:00","3","1","0","-99","-99","L","-99"
"65000V005740","2016/08/08 10:29:00","3","1","0","-99","-99","S","-99"
"65000V005740","2016/08/08 10:29:00","3","4","1","-99","-99","L","-99"
"65000V005740","2016/08/08 10:29:00","3","4","1","-99","-99","S","-99"
"65000V005740","2016/08/08 10:29:00","3","3","1","-99","-99","L","-99"
"65000V005740","2016/08/08 10:29:00","3","3","1","-99","-99","S","-99"
"65000V005740","2016/08/08 10:29:00","3","5","1","-99","-99","L","-99"
"65000V005740","2016/08/08 10:29:00","3","5","1","-99","-99","S","-99"
"65000V006200","2016/08/08 10:29:00","0","1","0","50","5","L","0"
"65000V006200","2016/08/08 10:29:00","0","1","0","50","5","S","10"
"65000V006200","2016/08/08 10:29:00","0","0","0","50","12","L","0"
"65000V006200","2016/08/08 10:29:00","0","0","0","50","12","S","24"
"65000V006200","2016/08/08 10:29:00","0","2","0","48","12","L","1"
"65000V006200","2016/08/08 10:29:00","0","2","0","48","12","S","16"
"65000V008130","2016/08/08 10:29:00","3","0","0","-99","-99","L","-99"
"65000V008130","2016/08/08 10:29:00","3","0","0","-99","-99","S","-99"
"65000V008130","2016/08/08 10:29:00","3","1","0","-99","-99","L","-99"
"65000V008130","2016/08/08 10:29:00","3","1","0","-99","-99","S","-99"
"65000V008130","2016/08/08 10:29:00","3","3","1","-99","-99","L","-99"
"65000V008130","2016/08/08 10:29:00","3","3","1","-99","-99","S","-99"
"65000V008130","2016/08/08 10:29:00","3","2","1","-99","-99","L","-99"
"65000V008130","2016/08/08 10:29:00","3","2","1","-99","-99","S","-99"
"65000V008940","2016/08/08 10:29:00","0","0","0","72","0","L","0"
"65000V008940","2016/08/08 10:29:00","0","0","0","72","0","S","2"
"65000V008940","2016/08/08 10:29:00","0","1","0","55","3","L","4"
"65000V008940","2016/08/08 10:29:00","0","1","0","55","3","S","2"
"65000V008940","2016/08/08 10:29:00","0","2","0","65","4","L","5"
"65000V008940","2016/08/08 10:29:00","0","2","0","65","4","S","7"
"65000V008940","2016/08/08 10:29:00","0","3","1","66","4","L","3"
"65000V008940","2016/08/08 10:29:00","0","3","1","66","4","S","9"
"65000V008940","2016/08/08 10:29:00","0","5","1","52","4","L","4"
"65000V008940","2016/08/08 10:29:00","0","5","1","52","4","S","1"
"65000V008940","2016/08/08 10:29:00","0","4","1","55","8","L","8"
"65000V008940","2016/08/08 10:29:00","0","4","1","55","8","S","2"
"65000V009560","2016/08/08 10:29:00","0","0","0","75","0","L","0"
"65000V009560","2016/08/08 10:29:00","0","0","0","75","0","S","1"
"65000V009560","2016/08/08 10:29:00","0","1","0","67","1","L","0"
"65000V009560","2016/08/08 10:29:00","0","1","0","67","1","S","2"
"65000V009560","2016/08/08 10:29:00","0","3","1","0","0","L","0"
"65000V009560","2016/08/08 10:29:00","0","3","1","0","0","S","0"
"65000V009560","2016/08/08 10:29:00","0","2","1","57","1","L","0"
"65000V009560","2016/08/08 10:29:00","0","2","1","57","1","S","2"
"65000V009850","2016/08/08 10:29:00","3","0","0","-99","-99","L","-99"
"65000V009850","2016/08/08 10:29:00","3","0","0","-99","-99","S","-99"
"65000V009850","2016/08/08 10:29:00","3","1","0","-99","-99","L","-99"
"65000V009850","2016/08/08 10:29:00","3","1","0","-99","-99","S","-99"
"65000V010000","2016/08/08 10:29:00","3","0","0","-99","-99","L","-99"
"65000V010000","2016/08/08 10:29:00","3","0","0","-99","-99","S","-99"
"65000V010000","2016/08/08 10:29:00","3","1","0","-99","-99","L","-99"
"65000V010000","2016/08/08 10:29:00","3","1","0","-99","-99","S","-99"
"65000V010000","2016/08/08 10:29:00","3","3","1","-99","-99","L","-99"
"65000V010000","2016/08/08 10:29:00","3","3","1","-99","-99","S","-99"
"65000V010000","2016/08/08 10:29:00","3","2","1","-99","-99","L","-99"
"65000V010000","2016/08/08 10:29:00","3","2","1","-99","-99","S","-99"
"65000V010010","2016/08/08 10:29:00","0","0","0","61","1","L","0"
"65000V010010","2016/08/08 10:29:00","0","0","0","61","1","S","5"
"65000V010010","2016/08/08 10:29:00","0","1","0","45","2","L","1"
"65000V010010","2016/08/08 10:29:00","0","1","0","45","2","S","2"
"65000V010200","2016/08/08 10:29:00","0","0","0","62","2","L","0"
"65000V010200","2016/08/08 10:29:00","0","0","0","62","2","S","6"
"65000V010200","2016/08/08 10:29:00","0","1","1","54","4","L","1"
"65000V010200","2016/08/08 10:29:00","0","1","1","54","4","S","5"
"65000V010240","2016/08/08 10:29:00","3","0","0","-99","-99","L","-99"
"65000V010240","2016/08/08 10:29:00","3","0","0","-99","-99","S","-99"
"65000V010240","2016/08/08 10:29:00","3","1","1","-99","-99","L","-99"
"65000V010240","2016/08/08 10:29:00","3","1","1","-99","-99","S","-99"
