"vdid","datacollecttime","status","vsrid","vsrdir","speed","laneoccupy","carid","volume"
"65000V005740","2016/08/10 18:44:00","3","1","0","-99","-99","L","-99"
"65000V005740","2016/08/10 18:44:00","3","1","0","-99","-99","S","-99"
"65000V005740","2016/08/10 18:44:00","3","2","0","-99","-99","L","-99"
"65000V005740","2016/08/10 18:44:00","3","2","0","-99","-99","S","-99"
"65000V005740","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V005740","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V005740","2016/08/10 18:44:00","3","3","1","-99","-99","L","-99"
"65000V005740","2016/08/10 18:44:00","3","3","1","-99","-99","S","-99"
"65000V005740","2016/08/10 18:44:00","3","4","1","-99","-99","L","-99"
"65000V005740","2016/08/10 18:44:00","3","4","1","-99","-99","S","-99"
"65000V005740","2016/08/10 18:44:00","3","5","1","-99","-99","L","-99"
"65000V005740","2016/08/10 18:44:00","3","5","1","-99","-99","S","-99"
"65000V006200","2016/08/10 18:44:00","0","1","0","52","8","L","2"
"65000V006200","2016/08/10 18:44:00","0","1","0","52","8","S","13"
"65000V006200","2016/08/10 18:44:00","0","0","0","42","14","L","0"
"65000V006200","2016/08/10 18:44:00","0","0","0","42","14","S","24"
"65000V006200","2016/08/10 18:44:00","0","2","0","42","16","L","2"
"65000V006200","2016/08/10 18:44:00","0","2","0","42","16","S","16"
"65000V008130","2016/08/10 18:44:00","3","1","0","-99","-99","L","-99"
"65000V008130","2016/08/10 18:44:00","3","1","0","-99","-99","S","-99"
"65000V008130","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V008130","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V008130","2016/08/10 18:44:00","3","2","1","-99","-99","L","-99"
"65000V008130","2016/08/10 18:44:00","3","2","1","-99","-99","S","-99"
"65000V008130","2016/08/10 18:44:00","3","3","1","-99","-99","L","-99"
"65000V008130","2016/08/10 18:44:00","3","3","1","-99","-99","S","-99"
"65000V008940","2016/08/10 18:44:00","0","0","0","55","3","L","3"
"65000V008940","2016/08/10 18:44:00","0","0","0","55","3","S","0"
"65000V008940","2016/08/10 18:44:00","0","1","0","56","3","L","5"
"65000V008940","2016/08/10 18:44:00","0","1","0","56","3","S","2"
"65000V008940","2016/08/10 18:44:00","0","2","0","23","17","L","11"
"65000V008940","2016/08/10 18:44:00","0","2","0","23","17","S","1"
"65000V008940","2016/08/10 18:44:00","0","5","1","62","2","L","1"
"65000V008940","2016/08/10 18:44:00","0","5","1","62","2","S","4"
"65000V008940","2016/08/10 18:44:00","0","3","1","58","3","L","4"
"65000V008940","2016/08/10 18:44:00","0","3","1","58","3","S","3"
"65000V008940","2016/08/10 18:44:00","0","4","1","65","5","L","2"
"65000V008940","2016/08/10 18:44:00","0","4","1","65","5","S","9"
"65000V009560","2016/08/10 18:44:00","0","0","0","69","1","L","0"
"65000V009560","2016/08/10 18:44:00","0","0","0","69","1","S","5"
"65000V009560","2016/08/10 18:44:00","0","1","0","62","4","L","1"
"65000V009560","2016/08/10 18:44:00","0","1","0","62","4","S","8"
"65000V009560","2016/08/10 18:44:00","0","3","1","69","0","L","0"
"65000V009560","2016/08/10 18:44:00","0","3","1","69","0","S","2"
"65000V009560","2016/08/10 18:44:00","0","2","1","45","0","L","0"
"65000V009560","2016/08/10 18:44:00","0","2","1","45","0","S","1"
"65000V009850","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V009850","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V009850","2016/08/10 18:44:00","3","1","0","-99","-99","L","-99"
"65000V009850","2016/08/10 18:44:00","3","1","0","-99","-99","S","-99"
"65000V010000","2016/08/10 18:44:00","3","1","0","-99","-99","L","-99"
"65000V010000","2016/08/10 18:44:00","3","1","0","-99","-99","S","-99"
"65000V010000","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V010000","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V010000","2016/08/10 18:44:00","3","3","1","-99","-99","L","-99"
"65000V010000","2016/08/10 18:44:00","3","3","1","-99","-99","S","-99"
"65000V010000","2016/08/10 18:44:00","3","2","1","-99","-99","L","-99"
"65000V010000","2016/08/10 18:44:00","3","2","1","-99","-99","S","-99"
"65000V010010","2016/08/10 18:44:00","0","1","0","0","0","L","0"
"65000V010010","2016/08/10 18:44:00","0","1","0","0","0","S","0"
"65000V010010","2016/08/10 18:44:00","0","0","0","59","1","L","0"
"65000V010010","2016/08/10 18:44:00","0","0","0","59","1","S","1"
"65000V010200","2016/08/10 18:44:00","0","0","0","53","2","L","0"
"65000V010200","2016/08/10 18:44:00","0","0","0","53","2","S","5"
"65000V010200","2016/08/10 18:44:00","0","1","1","48","10","L","0"
"65000V010200","2016/08/10 18:44:00","0","1","1","48","10","S","18"
"65000V010240","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V010240","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V010240","2016/08/10 18:44:00","3","1","1","-99","-99","L","-99"
"65000V010240","2016/08/10 18:44:00","3","1","1","-99","-99","S","-99"
"65000V015000","2016/08/10 18:44:00","0","2","0","49","3","L","0"
"65000V015000","2016/08/10 18:44:00","0","2","0","49","3","S","5"
"65000V015000","2016/08/10 18:44:00","0","0","0","39","7","L","2"
"65000V015000","2016/08/10 18:44:00","0","0","0","39","7","S","3"
"65000V015000","2016/08/10 18:44:00","0","1","0","42","7","L","1"
"65000V015000","2016/08/10 18:44:00","0","1","0","42","7","S","6"
"65000V015000","2016/08/10 18:44:00","0","3","1","53","1","L","0"
"65000V015000","2016/08/10 18:44:00","0","3","1","53","1","S","2"
"65000V015000","2016/08/10 18:44:00","0","5","1","49","2","L","1"
"65000V015000","2016/08/10 18:44:00","0","5","1","49","2","S","1"
"65000V015000","2016/08/10 18:44:00","0","4","1","61","3","L","1"
"65000V015000","2016/08/10 18:44:00","0","4","1","61","3","S","5"
"65000V015640","2016/08/10 18:44:00","0","0","0","33","1","L","0"
"65000V015640","2016/08/10 18:44:00","0","0","0","33","1","S","3"
"65000V015640","2016/08/10 18:44:00","0","1","0","35","1","L","0"
"65000V015640","2016/08/10 18:44:00","0","1","0","35","1","S","1"
"65000V015640","2016/08/10 18:44:00","0","2","0","51","5","L","0"
"65000V015640","2016/08/10 18:44:00","0","2","0","51","5","S","7"
"65000V015640","2016/08/10 18:44:00","0","4","1","51","0","L","0"
"65000V015640","2016/08/10 18:44:00","0","4","1","51","0","S","2"
"65000V015640","2016/08/10 18:44:00","0","3","1","61","3","L","0"
"65000V015640","2016/08/10 18:44:00","0","3","1","61","3","S","12"
"65000V015640","2016/08/10 18:44:00","0","5","1","53","8","L","0"
"65000V015640","2016/08/10 18:44:00","0","5","1","53","8","S","17"
"65000V017200","2016/08/10 18:44:00","0","0","0","58","2","L","0"
"65000V017200","2016/08/10 18:44:00","0","0","0","58","2","S","7"
"65000V017200","2016/08/10 18:44:00","0","1","1","42","7","L","0"
"65000V017200","2016/08/10 18:44:00","0","1","1","42","7","S","14"
"65000V021150","2016/08/10 18:44:00","0","0","0","35","0","L","0"
"65000V021150","2016/08/10 18:44:00","0","0","0","35","0","S","0"
"65000V021150","2016/08/10 18:44:00","0","2","0","56","4","L","0"
"65000V021150","2016/08/10 18:44:00","0","2","0","56","4","S","3"
"65000V021150","2016/08/10 18:44:00","0","1","0","41","5","L","0"
"65000V021150","2016/08/10 18:44:00","0","1","0","41","5","S","5"
"65000V021150","2016/08/10 18:44:00","0","3","1","48","1","L","0"
"65000V021150","2016/08/10 18:44:00","0","3","1","48","1","S","1"
"65000V021150","2016/08/10 18:44:00","0","4","1","37","5","L","1"
"65000V021150","2016/08/10 18:44:00","0","4","1","37","5","S","3"
"65000V021150","2016/08/10 18:44:00","0","5","1","45","7","L","1"
"65000V021150","2016/08/10 18:44:00","0","5","1","45","7","S","4"
"65000V022250","2016/08/10 18:44:00","0","0","0","38","2","L","1"
"65000V022250","2016/08/10 18:44:00","0","0","0","38","2","S","0"
"65000V022250","2016/08/10 18:44:00","0","1","0","43","4","L","0"
"65000V022250","2016/08/10 18:44:00","0","1","0","43","4","S","7"
"65000V022250","2016/08/10 18:44:00","0","3","1","39","2","L","0"
"65000V022250","2016/08/10 18:44:00","0","3","1","39","2","S","3"
"65000V022250","2016/08/10 18:44:00","0","2","1","29","13","L","1"
"65000V022250","2016/08/10 18:44:00","0","2","1","29","13","S","12"
"65000V026110","2016/08/10 18:44:00","0","0","0","67","1","L","0"
"65000V026110","2016/08/10 18:44:00","0","0","0","67","1","S","4"
"65000V026110","2016/08/10 18:44:00","0","1","0","58","1","L","0"
"65000V026110","2016/08/10 18:44:00","0","1","0","58","1","S","3"
"65000V026160","2016/08/10 18:44:00","0","1","0","0","0","L","0"
"65000V026160","2016/08/10 18:44:00","0","1","0","0","0","S","0"
"65000V026160","2016/08/10 18:44:00","0","0","0","0","0","L","0"
"65000V026160","2016/08/10 18:44:00","0","0","0","0","0","S","0"
"65000V026160","2016/08/10 18:44:00","0","3","1","63","2","L","0"
"65000V026160","2016/08/10 18:44:00","0","3","1","63","2","S","5"
"65000V026160","2016/08/10 18:44:00","0","2","1","63","2","L","0"
"65000V026160","2016/08/10 18:44:00","0","2","1","63","2","S","4"
"65000V026340","2016/08/10 18:44:00","0","3","0","48","1","L","0"
"65000V026340","2016/08/10 18:44:00","0","3","0","48","1","S","1"
"65000V026340","2016/08/10 18:44:00","0","0","0","56","3","L","1"
"65000V026340","2016/08/10 18:44:00","0","0","0","56","3","S","3"
"65000V026340","2016/08/10 18:44:00","0","1","0","56","7","L","1"
"65000V026340","2016/08/10 18:44:00","0","1","0","56","7","S","6"
"65000V026340","2016/08/10 18:44:00","0","2","0","44","10","L","2"
"65000V026340","2016/08/10 18:44:00","0","2","0","44","10","S","4"
"65000V026471","2016/08/10 18:44:00","3","3","0","-99","-99","L","-99"
"65000V026471","2016/08/10 18:44:00","3","3","0","-99","-99","S","-99"
"65000V026471","2016/08/10 18:44:00","3","2","0","-99","-99","L","-99"
"65000V026471","2016/08/10 18:44:00","3","2","0","-99","-99","S","-99"
"65000V026471","2016/08/10 18:44:00","3","1","0","-99","-99","L","-99"
"65000V026471","2016/08/10 18:44:00","3","1","0","-99","-99","S","-99"
"65000V026471","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V026471","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V027840","2016/08/10 18:44:00","0","1","0","0","0","L","0"
"65000V027840","2016/08/10 18:44:00","0","1","0","0","0","S","0"
"65000V027840","2016/08/10 18:44:00","0","0","0","0","56","L","1"
"65000V027840","2016/08/10 18:44:00","0","0","0","0","56","S","0"
"65000V027840","2016/08/10 18:44:00","0","3","1","0","0","L","0"
"65000V027840","2016/08/10 18:44:00","0","3","1","0","0","S","0"
"65000V027840","2016/08/10 18:44:00","0","2","1","53","6","L","2"
"65000V027840","2016/08/10 18:44:00","0","2","1","53","6","S","2"
"65000V028140","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V028140","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V028140","2016/08/10 18:44:00","3","1","0","-99","-99","L","-99"
"65000V028140","2016/08/10 18:44:00","3","1","0","-99","-99","S","-99"
"65000V028140","2016/08/10 18:44:00","3","2","0","-99","-99","L","-99"
"65000V028140","2016/08/10 18:44:00","3","2","0","-99","-99","S","-99"
"65000V028140","2016/08/10 18:44:00","3","4","1","-99","-99","L","-99"
"65000V028140","2016/08/10 18:44:00","3","4","1","-99","-99","S","-99"
"65000V028140","2016/08/10 18:44:00","3","3","1","-99","-99","L","-99"
"65000V028140","2016/08/10 18:44:00","3","3","1","-99","-99","S","-99"
"65000V030550","2016/08/10 18:44:00","0","1","0","-99","-99","L","-99"
"65000V030550","2016/08/10 18:44:00","0","1","0","-99","-99","S","-99"
"65000V030550","2016/08/10 18:44:00","0","2","0","-99","-99","L","-99"
"65000V030550","2016/08/10 18:44:00","0","2","0","-99","-99","S","-99"
"65000V030550","2016/08/10 18:44:00","0","0","0","-99","-99","L","-99"
"65000V030550","2016/08/10 18:44:00","0","0","0","-99","-99","S","-99"
"65000V030840","2016/08/10 18:44:00","3","1","0","-99","-99","L","-99"
"65000V030840","2016/08/10 18:44:00","3","1","0","-99","-99","S","-99"
"65000V030840","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V030840","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V030840","2016/08/10 18:44:00","3","3","1","-99","-99","L","-99"
"65000V030840","2016/08/10 18:44:00","3","3","1","-99","-99","S","-99"
"65000V030840","2016/08/10 18:44:00","3","2","1","-99","-99","L","-99"
"65000V030840","2016/08/10 18:44:00","3","2","1","-99","-99","S","-99"
"65000V031110","2016/08/10 18:44:00","3","1","0","-99","-99","L","-99"
"65000V031110","2016/08/10 18:44:00","3","1","0","-99","-99","S","-99"
"65000V031110","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V031110","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V031110","2016/08/10 18:44:00","3","3","1","-99","-99","L","-99"
"65000V031110","2016/08/10 18:44:00","3","3","1","-99","-99","S","-99"
"65000V031110","2016/08/10 18:44:00","3","2","1","-99","-99","L","-99"
"65000V031110","2016/08/10 18:44:00","3","2","1","-99","-99","S","-99"
"65000V035350","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V035350","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V035350","2016/08/10 18:44:00","3","1","0","-99","-99","L","-99"
"65000V035350","2016/08/10 18:44:00","3","1","0","-99","-99","S","-99"
"65000V035350","2016/08/10 18:44:00","3","3","0","-99","-99","L","-99"
"65000V035350","2016/08/10 18:44:00","3","3","0","-99","-99","S","-99"
"65000V035350","2016/08/10 18:44:00","3","2","0","-99","-99","L","-99"
"65000V035350","2016/08/10 18:44:00","3","2","0","-99","-99","S","-99"
"65000V035620","2016/08/10 18:44:00","0","1","0","0","0","L","0"
"65000V035620","2016/08/10 18:44:00","0","1","0","0","0","S","0"
"65000V035620","2016/08/10 18:44:00","0","0","0","48","10","L","4"
"65000V035620","2016/08/10 18:44:00","0","0","0","48","10","S","4"
"65000V035620","2016/08/10 18:44:00","0","3","1","34","4","L","2"
"65000V035620","2016/08/10 18:44:00","0","3","1","34","4","S","0"
"65000V035620","2016/08/10 18:44:00","0","2","1","17","12","L","1"
"65000V035620","2016/08/10 18:44:00","0","2","1","17","12","S","1"
"65000V036660","2016/08/10 18:44:00","0","1","0","0","0","L","0"
"65000V036660","2016/08/10 18:44:00","0","1","0","0","0","S","0"
"65000V036660","2016/08/10 18:44:00","0","0","0","0","100","L","0"
"65000V036660","2016/08/10 18:44:00","0","0","0","0","100","S","0"
"65000V036660","2016/08/10 18:44:00","0","3","1","48","2","L","0"
"65000V036660","2016/08/10 18:44:00","0","3","1","48","2","S","3"
"65000V036660","2016/08/10 18:44:00","0","2","1","41","3","L","0"
"65000V036660","2016/08/10 18:44:00","0","2","1","41","3","S","4"
"65000V037700","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V037700","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V037700","2016/08/10 18:44:00","3","2","0","-99","-99","L","-99"
"65000V037700","2016/08/10 18:44:00","3","2","0","-99","-99","S","-99"
"65000V037700","2016/08/10 18:44:00","3","1","0","-99","-99","L","-99"
"65000V037700","2016/08/10 18:44:00","3","1","0","-99","-99","S","-99"
"65000V037700","2016/08/10 18:44:00","3","4","1","-99","-99","L","-99"
"65000V037700","2016/08/10 18:44:00","3","4","1","-99","-99","S","-99"
"65000V037700","2016/08/10 18:44:00","3","5","1","-99","-99","L","-99"
"65000V037700","2016/08/10 18:44:00","3","5","1","-99","-99","S","-99"
"65000V037700","2016/08/10 18:44:00","3","3","1","-99","-99","L","-99"
"65000V037700","2016/08/10 18:44:00","3","3","1","-99","-99","S","-99"
"65000V037800","2016/08/10 18:44:00","0","2","0","-99","-99","L","-99"
"65000V037800","2016/08/10 18:44:00","0","2","0","-99","-99","S","-99"
"65000V037800","2016/08/10 18:44:00","0","1","0","-99","-99","L","-99"
"65000V037800","2016/08/10 18:44:00","0","1","0","-99","-99","S","-99"
"65000V037800","2016/08/10 18:44:00","0","0","0","-99","-99","L","-99"
"65000V037800","2016/08/10 18:44:00","0","0","0","-99","-99","S","-99"
"65000V037800","2016/08/10 18:44:00","0","4","1","-99","-99","L","-99"
"65000V037800","2016/08/10 18:44:00","0","4","1","-99","-99","S","-99"
"65000V037800","2016/08/10 18:44:00","0","5","1","-99","-99","L","-99"
"65000V037800","2016/08/10 18:44:00","0","5","1","-99","-99","S","-99"
"65000V037800","2016/08/10 18:44:00","0","3","1","-99","-99","L","-99"
"65000V037800","2016/08/10 18:44:00","0","3","1","-99","-99","S","-99"
"65000V040100","2016/08/10 18:44:00","0","0","0","29","20","L","0"
"65000V040100","2016/08/10 18:44:00","0","0","0","29","20","S","25"
"65000V040100","2016/08/10 18:44:00","0","1","0","31","22","L","0"
"65000V040100","2016/08/10 18:44:00","0","1","0","31","22","S","26"
"65000V040100","2016/08/10 18:44:00","0","2","1","54","4","L","1"
"65000V040100","2016/08/10 18:44:00","0","2","1","54","4","S","8"
"65000V040100","2016/08/10 18:44:00","0","3","1","47","14","L","1"
"65000V040100","2016/08/10 18:44:00","0","3","1","47","14","S","22"
"65000V040240","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V040240","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V040240","2016/08/10 18:44:00","3","1","0","-99","-99","L","-99"
"65000V040240","2016/08/10 18:44:00","3","1","0","-99","-99","S","-99"
"65000V040240","2016/08/10 18:44:00","3","2","0","-99","-99","L","-99"
"65000V040240","2016/08/10 18:44:00","3","2","0","-99","-99","S","-99"
"65000V040240","2016/08/10 18:44:00","3","5","1","-99","-99","L","-99"
"65000V040240","2016/08/10 18:44:00","3","5","1","-99","-99","S","-99"
"65000V040240","2016/08/10 18:44:00","3","3","1","-99","-99","L","-99"
"65000V040240","2016/08/10 18:44:00","3","3","1","-99","-99","S","-99"
"65000V040240","2016/08/10 18:44:00","3","4","1","-99","-99","L","-99"
"65000V040240","2016/08/10 18:44:00","3","4","1","-99","-99","S","-99"
"65000V040870","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V040870","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V040870","2016/08/10 18:44:00","3","1","0","-99","-99","L","-99"
"65000V040870","2016/08/10 18:44:00","3","1","0","-99","-99","S","-99"
"65000V040870","2016/08/10 18:44:00","3","2","1","-99","-99","L","-99"
"65000V040870","2016/08/10 18:44:00","3","2","1","-99","-99","S","-99"
"65000V040870","2016/08/10 18:44:00","3","3","1","-99","-99","L","-99"
"65000V040870","2016/08/10 18:44:00","3","3","1","-99","-99","S","-99"
"65000V041140","2016/08/10 18:44:00","3","2","0","-99","-99","L","-99"
"65000V041140","2016/08/10 18:44:00","3","2","0","-99","-99","S","-99"
"65000V041140","2016/08/10 18:44:00","3","1","0","-99","-99","L","-99"
"65000V041140","2016/08/10 18:44:00","3","1","0","-99","-99","S","-99"
"65000V041140","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V041140","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V043040","2016/08/10 18:44:00","0","1","0","-99","-99","L","-99"
"65000V043040","2016/08/10 18:44:00","0","1","0","-99","-99","S","-99"
"65000V043040","2016/08/10 18:44:00","0","0","0","-99","-99","L","-99"
"65000V043040","2016/08/10 18:44:00","0","0","0","-99","-99","S","-99"
"65000V043040","2016/08/10 18:44:00","0","2","1","-99","-99","L","-99"
"65000V043040","2016/08/10 18:44:00","0","2","1","-99","-99","S","-99"
"65000V043040","2016/08/10 18:44:00","0","3","1","-99","-99","L","-99"
"65000V043040","2016/08/10 18:44:00","0","3","1","-99","-99","S","-99"
"65000V043860","2016/08/10 18:44:00","3","1","0","-99","-99","L","-99"
"65000V043860","2016/08/10 18:44:00","3","1","0","-99","-99","S","-99"
"65000V043860","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V043860","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V043860","2016/08/10 18:44:00","3","2","1","-99","-99","L","-99"
"65000V043860","2016/08/10 18:44:00","3","2","1","-99","-99","S","-99"
"65000V043860","2016/08/10 18:44:00","3","3","1","-99","-99","L","-99"
"65000V043860","2016/08/10 18:44:00","3","3","1","-99","-99","S","-99"
"65000V044260","2016/08/10 18:44:00","3","1","0","-99","-99","L","-99"
"65000V044260","2016/08/10 18:44:00","3","1","0","-99","-99","S","-99"
"65000V044260","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V044260","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V044260","2016/08/10 18:44:00","3","3","1","-99","-99","L","-99"
"65000V044260","2016/08/10 18:44:00","3","3","1","-99","-99","S","-99"
"65000V044260","2016/08/10 18:44:00","3","2","1","-99","-99","L","-99"
"65000V044260","2016/08/10 18:44:00","3","2","1","-99","-99","S","-99"
"65000V046200","2016/08/10 18:44:00","3","1","0","-99","-99","L","-99"
"65000V046200","2016/08/10 18:44:00","3","1","0","-99","-99","S","-99"
"65000V046200","2016/08/10 18:44:00","3","0","0","-99","-99","L","-99"
"65000V046200","2016/08/10 18:44:00","3","0","0","-99","-99","S","-99"
"65000V046200","2016/08/10 18:44:00","3","3","1","-99","-99","L","-99"
"65000V046200","2016/08/10 18:44:00","3","3","1","-99","-99","S","-99"
"65000V046200","2016/08/10 18:44:00","3","2","1","-99","-99","L","-99"
"65000V046200","2016/08/10 18:44:00","3","2","1","-99","-99","S","-99"
